Issue Type,Issue Key,Summary,Description,Epic Link,Parent,Story Points,Priority,Labels,Components,Sprint
Epic,S5-E6,S5 Phase 5: Paper Trading (60 days),Live alerts to Alpaca paper API for 60 trading days. Pass: realized hit rate within 15pp of backtest.,,,,High,"s5,phase-5,paper-trade",trading-system,
Epic,S5-E7,S5 Phase 6: Live Ramp 0.25x Kelly,First 30 real-money S5 trades at quarter-Kelly * 0.25 sizing.,,,,High,"s5,phase-6,live",trading-system,
Epic,S5-E8,S5 Phase 7: Ramp 0.50x and Full Quarter-Kelly,"Next 30 trades at 0.50x, then full quarter-Kelly after 100 cumulative live trades.",,,,High,"s5,phase-7,live",trading-system,
Epic,S5-E9,"S5 Cross-cutting: Risk, Journal, Observability","Risk manager, decision log, attribution dashboards, alerting.",,,,High,"s5,risk,observability",trading-system,
Epic,S5-E11,S5 Cross-cutting: Integration & Operations,"Cost recalibration, brain handoff verification, per-phase rollback, allow_s5_trade canonical gate.",,,,Critical,"s5,integration,operations",trading-system,
Story,FND-1,Polygon WebSocket client for 1m bars and trades,"AS a developer
I WANT a stable Polygon WebSocket client
SO THAT scalp brain receives real-time bars and ticks reliably.

ACCEPTANCE CRITERIA:
- Connects to wss://socket.polygon.io/stocks
- Subscribes to AM.* (1m bars), T.* (trades), Q.* (NBBO)
- Auto-reconnect with exponential backoff
- Buffer survives 30s reconnects without data loss
- Heartbeat with alert on >5min silence",FND-E1,,5,Critical,,data-clients,
Sub-task,FND-1.1,Auth + subscribe handshake,"Auth message, subscribe message, parse responses.",,FND-1,2,Medium,,,
Sub-task,FND-1.2,Reconnect logic with backoff,"Exponential 1s, 2s, 4s, 8s, max 60s. Log every reconnect.",,FND-1,2,Medium,,,
Sub-task,FND-1.3,Message buffer for downstream consumers,AsyncQueue per channel; backpressure handling.,,FND-1,1,Medium,,,
Test,FND-1.T1,TEST: reconnect after forced disconnect,"GIVEN active WS, WHEN killed mid-stream, THEN reconnects within 5s and resumes subscriptions.",,FND-1,,Medium,,tests,
Test,FND-1.T2,TEST: aggressor classification matches Lee-Ready,"Send synthetic trades above/at/below midpoint; verify classification = +1, 0, -1.",,FND-1,,Medium,,tests,
Story,FND-2,Polygon REST client for historical bars and chains,"AS a developer
I WANT historical bars and option chain snapshots via REST
SO THAT backtests and replays work without WS dependency.

ACCEPTANCE CRITERIA:
- /v2/aggs/ticker/{symbol}/range/1/minute/{from}/{to} pagination
- Options chain snapshot at any historical timestamp
- Rate-limit aware
- Results cached to S3/parquet",FND-E1,,5,Critical,,data-clients,
Test,FND-2.T1,TEST: pagination retrieves all bars,"1 trading year of SPY 1m bars. Total ~98,280 (within 1%).",,FND-2,,Medium,,tests,
Test,FND-2.T2,TEST: rate limit respected,"100 requests in 10s with rate=5/min. Throttle, no 429.",,FND-2,,Medium,,tests,
Story,FND-3,Unusual Whales API client,"AS a developer
I WANT a typed UW API client covering all S5 endpoints
SO THAT swing brain and ML labeling work reliably.

ACCEPTANCE CRITERIA:
- /api/stock/{ticker}/flow-recent
- /api/stock/{ticker}/flow-historical
- /api/stock/{ticker}/greek-exposure
- /api/stock/{ticker}/greek-exposure-history
- /api/stock/{ticker}/dark-pool-prints
- /api/stock/{ticker}/iv-term-structure
- /api/stock/{ticker}/earnings/flow-summary
- Bearer token via env var
- Each method returns typed dataclass",FND-E1,,8,Critical,,data-clients,
Sub-task,FND-3.1,[BLOCKER] Verify UW GEX endpoint update cadence,Read UW docs and confirm /greek-exposure update frequency. Real-time: 30min holds. 5min: tighten to 10min. EOD only: S5 redesign required. Cannot proceed past Sprint 1 without this answer.,,FND-3,2,Critical,blocker,,
Sub-task,FND-3.2,Implement typed flow endpoints,flow-recent + flow-historical with FlowRecord dataclass.,,FND-3,2,Medium,,,
Sub-task,FND-3.3,Implement typed GEX endpoints,greek-exposure + greek-exposure-history with GEXSnapshot dataclass.,,FND-3,2,Medium,,,
Sub-task,FND-3.4,Implement IV term and earnings flow endpoints,"iv-term-structure, earnings/flow-summary.",,FND-3,2,Medium,,,
Test,FND-3.T1,TEST: GEX freshness check enforced,"GIVEN GEX older than verified cadence + buffer, WHEN candidate evaluated, THEN rejected with 'gex_stale'.",,FND-3,,Medium,,tests,
Test,FND-3.T2,TEST: signed_flow matches Pan-Poteshman,"5 calls bought $1M each, 2 puts bought $300K. Verify call_buy=$5M, put_buy=$0.6M, net=$4.4M.",,FND-3,,Medium,,tests,
Test,FND-3.T3,TEST: rate limit handling on burst,50 parallel requests; 429s retried with backoff; final results all succeed.,,FND-3,,Medium,,tests,
Story,FND-4,Alpaca client for paper and live execution,"AS a developer
I WANT an Alpaca client handling equity brackets, multi-leg verticals, trade WS
SO THAT execution layer can submit and track positions.

ACCEPTANCE CRITERIA:
- POST /v2/orders for equity brackets
- POST /v2/orders with order_class=mleg for verticals
- WS /stream subscription to trade_updates
- Paper/live switching via env var
- Idempotency via client_order_id",FND-E1,,5,Critical,,execution,
Test,FND-4.T1,TEST: vertical leg construction,"GIVEN long $470 call and short $475 call, WHEN order built, THEN legs payload correct.",,FND-4,,Medium,,tests,
Test,FND-4.T2,TEST: idempotent submission,Same client_order_id twice; second must not duplicate.,,FND-4,,Medium,,tests,
Story,FND-5,Secrets management,"AS a developer
I WANT API keys stored securely and rotated easily
SO THAT a leaked key incident can be remediated quickly.

ACCEPTANCE CRITERIA:
- Keys in /etc/trading/secrets.env (chmod 600)
- Never logged, never echoed
- Documented rotation procedure
- Pre-commit hook prevents key-pattern commits",FND-E1,,2,Critical,,security,
Test,FND-5.T1,TEST: pre-commit hook blocks key patterns,Attempt commit with 'sk-ant-...' or 'PKx...'; hook rejects.,,FND-5,,Medium,,tests,
Story,FND-6,Fixture management for replay determinism,"AS a developer
I WANT historical bars, GEX, flow records cached as immutable fixtures
SO THAT replays are deterministic across machines.

ACCEPTANCE CRITERIA:
- Historical data downloaded to S3 with content-addressed paths
- Fixture loader validates checksums
- Replays read only from fixtures, never live API",FND-E1,,3,High,,data,
Story,FND-10,API contract documentation for all third-party integrations,"AS a developer
I WANT a single source of truth for every API
SO THAT future maintainers know exactly what each endpoint provides.

ACCEPTANCE CRITERIA:
- Markdown doc per provider (UW, Polygon, Alpaca, FRED)
- For each endpoint: URL, method, auth, params, response schema, rate limit, update cadence
- Stored in /docs/api/
- Reviewed quarterly",FND-E2,,3,High,,docs,
Story,FND-11,UW API change monitoring,"AS a developer
I WANT automated monitoring of UW API schema and cadence drift
SO THAT production doesn't break silently when UW deprecates a field or changes update frequency.

ACCEPTANCE CRITERIA:
- Subscribe to UW changelog / status page
- Daily integration test against UW staging or smoke-test endpoints
- Alert on schema diff: missing fields, type changes, new required fields
- Alert if /greek-exposure cadence diverges from verified value
- Document UW endpoint contracts in /docs/api/uw.md with last-verified date",FND-E2,,5,High,,operations,
Sub-task,FND-11.1,Implement schema drift detection,"Daily job: fetch sample response, diff JSON schema against committed fixture. Alert on diff.",,FND-11,3,Medium,,,
Sub-task,FND-11.2,Implement cadence monitoring,"Track inter-arrival time of GEX snapshots. If 95th p > 2x verified for 1h, alert.",,FND-11,2,Medium,,,
Test,FND-11.T1,TEST: schema diff alert on simulated change,Simulate UW response missing 'gex_by_strike'. Alert fires within 1 daily cycle.,,FND-11,,Medium,,tests,
Story,SCALP-1,Implement Features object for scalp brain (per-bar feature builder),"AS a developer
I WANT a per-bar Features object computed deterministically from bars+trades+UW data
SO THAT scalp classifier sees consistent inputs.

ACCEPTANCE CRITERIA:
- Per v2.2 sec 18 spec: price structure, volume, aggressor, gamma, options flow features
- Computed at bar close only (no intra-bar peeking)
- Features object hashable; hash stored in any decision logs
- Live and replay paths produce identical Features for same bar",SCALP-E1,,8,Critical,,features,
Sub-task,SCALP-1.1,Price structure features,"extension_from_vwap_atr, failed_extension_atr, pullback_break, wick_pct.",,SCALP-1,2,Medium,,,
Sub-task,SCALP-1.2,Volume features,"volume_divergence_ratio, current_push_vol, prior_push_vol, climax_vol_ratio.",,SCALP-1,2,Medium,,,
Sub-task,SCALP-1.3,Aggressor features,"aggressor_recent, aggressor_prior, aggressor_velocity, flip_strength.",,SCALP-1,1,Medium,,,
Sub-task,SCALP-1.4,Gamma features,"distance_to_pos_gex_atr, gex_magnitude_rank, gamma_flip_distance, strike_oi_rank, gex_strike_dte.",,SCALP-1,2,Medium,,,
Sub-task,SCALP-1.5,Options flow features,"net_signed_premium_5m, call_ask_pct, put_ask_pct, sweep_count, flow_flip.",,SCALP-1,1,Medium,,,
Test,SCALP-1.T1,TEST: feature hash stable across runs,"Same inputs, two runs, same hash. No randomness, no datetime.now() leakage.",,SCALP-1,,Medium,,tests,
Test,SCALP-1.T2,TEST: no look-ahead in any feature,Mock future bar; feature value at T does not change.,,SCALP-1,,Medium,,tests,
Story,SCALP-2,Implement 7-state classifier per v2.2 sec B4,"AS a developer
I WANT a state classifier emitting one of 7 states per bar
SO THAT swing brain and ML can consume canonical state.

ACCEPTANCE CRITERIA:
States per v2.2 sec B4:
- NEUTRAL
- SURGE_IGNITION (long ignition into resistance)
- SURGE_CONTINUATION (long continuation up)
- SURGE_CLIMAX (exhaustion at top)
- SURGE_REVERSE (top reversal forming)
- TANK_IGNITION (short ignition into support)
- TANK_CONTINUATION (short continuation down)
- TANK_CLIMAX (exhaustion at bottom)
- TANK_REVERSE (bottom reversal forming)
Classifier evaluates per-bar Features and returns single state. Threshold logic per v2.2 sec B4.",SCALP-E1,,8,Critical,,state-machine,
Sub-task,SCALP-2.1,Implement state transition rules,"Input: prior_state, Features. Output: new_state. Encode v2.2 sec B4 transition rules.",,SCALP-2,3,Medium,,,
Sub-task,SCALP-2.2,Implement sticky state with hysteresis,States persist for minimum N bars unless invalidation conditions met. Per v2.2 sec B4.,,SCALP-2,2,Medium,,,
Sub-task,SCALP-2.3,"Implement state metadata: entry_bar, age_bars, score_at_entry",Each state instance carries metadata for downstream consumers.,,SCALP-2,2,Medium,,,
Test,SCALP-2.T1,TEST: transition NEUTRAL -> SURGE_IGNITION fires correctly,"GIVEN extension_from_vwap_atr crosses threshold, WHEN classifier runs, THEN state = SURGE_IGNITION.",,SCALP-2,,Medium,,tests,
Test,SCALP-2.T2,TEST: SURGE_REVERSE requires prior CONTINUATION or CLIMAX,Cannot transition NEUTRAL -> SURGE_REVERSE directly. Must pass through CONTINUATION or CLIMAX.,,SCALP-2,,Medium,,tests,
Test,SCALP-2.T3,TEST: state hysteresis prevents flip-flopping,Inject synthetic noise crossing thresholds; verify state holds for minimum age.,,SCALP-2,,Medium,,tests,
Story,SCALP-10,Implement reversal_score formula per v2.2 sec B4.3,"AS a developer
I WANT a reversal_score in [0, 1] computed per bar
SO THAT S5 trigger and ML model consume canonical reversal strength.

ACCEPTANCE CRITERIA:
- Formula per v2.2 sec B4.3 (weighted combination of features)
- Components: failed_extension, wick_pct, aggressor_flip_strength, volume_divergence, flow_flip
- Output in [0, 1]
- Computed at bar close only",SCALP-E2,,5,Critical,,scores,
Sub-task,SCALP-10.1,Implement long-direction reversal_score (TANK_REVERSE),"For tank-bottom reversals: failed lower extension, lower wick, aggressor flip up, climax volume.",,SCALP-10,2,Medium,,,
Sub-task,SCALP-10.2,Implement short-direction reversal_score (SURGE_REVERSE),"For surge-top reversals: failed upper extension, upper wick, aggressor flip down, climax volume.",,SCALP-10,2,Medium,,,
Sub-task,SCALP-10.3,Calibrate weights per backtest,Initial weights from v2.2 spec; refine via grid search on historical labeled bars.,,SCALP-10,1,Medium,,,
Test,SCALP-10.T1,TEST: reversal_score = 0 in NEUTRAL state,"When no reversal microstructure present, score must be near 0.",,SCALP-10,,Medium,,tests,
Test,SCALP-10.T2,TEST: textbook surge-top fires reversal_score >= 0.55,"Synthetic SPY surge-top: 2 ATR extension, upper wick 0.45, aggressor flip from +0.7 to -0.4, climax volume. Score >= 0.55.",,SCALP-10,,Medium,,tests,
Story,SCALP-11,"Implement ignition_score, continuation_score, climax_score","AS a developer
I WANT scores for ignition, continuation, climax states
SO THAT all 7 states have quantitative thresholds, not just binary classifier.

ACCEPTANCE CRITERIA:
- ignition_score per v2.2 sec B4.1
- continuation_score per v2.2 sec B4.2
- climax_score per v2.2 sec B4.4
- All scores in [0, 1]
- Used by classifier for state decisions and by downstream consumers",SCALP-E2,,5,High,,scores,
Test,SCALP-11.T1,TEST: ignition_score peaks on first push from base,Synthetic 1.5 ATR push from prior_close with high volume and aggressor +0.8. ignition_score >= 0.7.,,SCALP-11,,Medium,,tests,
Test,SCALP-11.T2,TEST: climax_score peaks on parabolic move,Synthetic 3 ATR extension with declining volume on each push. climax_score >= 0.7.,,SCALP-11,,Medium,,tests,
Story,SCALP-20,Historical replay harness for scalp brain,"AS a quant researcher
I WANT to replay any historical date range and reproduce every state and score
SO THAT S5 sub-edge validation and ML training are reproducible.

ACCEPTANCE CRITERIA:
- Given a date range, replay produces identical state sequence each run
- All inputs from S3-cached fixtures, not live API
- Output: per-bar (state, score, features_hash) consumable by downstream
- Replay 12mo top-100 names completes in < 1 hour",SCALP-E3,,5,High,,replay,
Test,SCALP-20.T1,TEST: replay determinism over 5 runs,Replay same week 5 times. State sequence and feature hashes byte-identical.,,SCALP-20,,Medium,,tests,
Story,SCALP-21,Live <-> replay parity test,"AS a developer
I WANT a parity check that live state stream matches replay output for same bars
SO THAT we trust live behavior matches what backtests predicted.

ACCEPTANCE CRITERIA:
- Capture 1 trading day live state stream
- Replay same day from fixture
- Diff: state and score must match exactly per bar
- Any divergence is a bug; fix before proceeding",SCALP-E3,,3,High,,replay,
Test,SCALP-21.T1,TEST: live and replay match byte-for-byte,"After 1 trading day, parity diff = 0 bars different.",,SCALP-21,,Medium,,tests,
Story,SCALP-30,Publish state changes to Redis channel scalp.price_trigger,"AS a developer
I WANT scalp brain to publish state changes to Redis pubsub
SO THAT swing brain can subscribe and elevate pre-staged candidates.

ACCEPTANCE CRITERIA:
- Channel: scalp.price_trigger
- Schema: {ticker, state, score, timestamp, sequence_number}
- Publish on EVERY state change (not every bar)
- Sequence number per ticker for downstream re-ordering
- Async publish: must not block scalp classifier on Redis latency
- Latency target: pubsub round-trip < 100ms p99",SCALP-E4,,5,Critical,,integration,
Sub-task,SCALP-30.1,Implement state-change detection,Compare new_state vs prior_state; publish only on change.,,SCALP-30,2,Medium,,,
Sub-task,SCALP-30.2,Implement sequence number tracking per ticker,Monotonic counter per ticker; included in every message.,,SCALP-30,2,Medium,,,
Sub-task,SCALP-30.3,Implement async publisher with backpressure,"If Redis slow, queue messages; do not block classifier.",,SCALP-30,1,Medium,,,
Test,SCALP-30.T1,TEST: publish only on state change,Run classifier across 100 bars with 5 state changes; verify exactly 5 messages published.,,SCALP-30,,Medium,,tests,
Test,SCALP-30.T2,TEST: round-trip latency < 100ms p99,Synthetic 100 messages; measure round-trip from publish to subscriber receive. p99 < 100ms.,,SCALP-30,,Medium,,tests,
Test,SCALP-30.T3,TEST: sequence numbers monotonic per ticker,"Publish 50 messages for SPY; verify sequence 1, 2, 3, ..., 50 with no gaps or duplicates.",,SCALP-30,,Medium,,tests,
Story,SWING-1,Implement 7-stage lifecycle state machine for S5,"AS a developer
I WANT a 7-stage state machine: Inducement -> Setup -> Trigger -> Entry -> Manage -> Exit -> Journal
SO THAT S5 candidates have explicit lifecycle states observable in production.

ACCEPTANCE CRITERIA:
- States: INDUCEMENT, SETUP, TRIGGER, ENTRY, MANAGE, EXIT, JOURNAL
- Each state has documented entry/exit conditions per v2.2
- State transitions logged to candidate_transitions table
- Each candidate has unique ID, state, age in current state, predecessor states",SWING-E1,,8,Critical,,state-machine,
Sub-task,SWING-1.1,Implement S5 INDUCEMENT detection,Inducement: GEX strike accumulation pattern over multi-day. Watch for divergent flow accumulating against price.,,SWING-1,2,Medium,,,
Sub-task,SWING-1.2,Implement S5 SETUP gate (per v2.2 sec 14),"is_s5_setup() returning True when ALL conditions met: near_gex, extended, at_liquidity, no_event, gex_strike_ok, gex_fresh.",,SWING-1,3,Medium,,,
Sub-task,SWING-1.3,Implement S5 TRIGGER reception,"Subscribe to scalp.price_trigger; on matching state (TANK_REVERSE/SURGE_REVERSE) for ticker with pre-staged S5 candidate, transition to TRIGGER.",,SWING-1,2,Medium,,,
Sub-task,SWING-1.4,Implement S5 ENTRY -> MANAGE transition,"ENTRY: order submitted via allow_s5_trade. MANAGE: position held, monitor for stop/target/IV crush/timeout.",,SWING-1,1,Medium,,,
Test,SWING-1.T1,TEST: state machine refuses invalid transitions,"GIVEN candidate in SETUP state, WHEN attempted transition to MANAGE (skipping TRIGGER and ENTRY), THEN raises InvalidTransitionError.",,SWING-1,,Medium,,tests,
Test,SWING-1.T2,TEST: every transition logged,Run candidate through full lifecycle; assert candidate_transitions has 6 rows (one per transition).,,SWING-1,,Medium,,tests,
Story,SWING-2,Implement S5 setup gate with all v2.2 conditions,"AS a developer
I WANT is_s5_setup() returning True only when ALL setup conditions met
SO THAT pre-staging the swing candidate is unambiguous.

ACCEPTANCE CRITERIA:
- near_gex (distance_to_major_pos_gex_atr <= 0.50)
- extended (extension_from_vwap_atr >= 1.50 OR from_prior_close)
- at_liquidity (near_htf_level_atr <= 0.50)
- no_event (no earnings or FOMC blackout)
- gex_strike_ok (major_gex_strike_dte >= 6)
- gex_fresh (gex_snapshot_age_min <= 30)",SWING-E1,,3,Critical,,rules,
Test,SWING-2.T1,TEST: gex_strike_dte rejects near-OPEX,"GIVEN setup with major_gex_strike_dte=4, WHEN is_s5_setup runs, THEN False with 'gex_strike_too_close_to_expiry'.",,SWING-2,,Medium,,tests,
Test,SWING-2.T2,TEST: stale GEX rejects setup,"GIVEN gex_snapshot_age_min=45, WHEN is_s5_setup runs, THEN False with 'gex_stale'.",,SWING-2,,Medium,,tests,
Test,SWING-2.T3,TEST: all six conditions required,"Parametrized: flip each condition false, verify rejection with correct reason.",,SWING-2,,Medium,,tests,
Story,SWING-3,Implement local-strike-pierce check (v2.2 sec 15),"AS a developer
I WANT s5_trigger_with_pierce_check() rejecting candidates where price pierced gamma strike pre-trigger
SO THAT we don't fade after gamma sign already flipped locally.

ACCEPTANCE CRITERIA:
- After scalp.price_trigger arrives, check recent_bars window
- Long setup: invalidate if recent_low < gamma_strike - 0.25*ATR
- Short setup: invalidate if recent_high > gamma_strike + 0.25*ATR
- Confirmation candle must be CLOSED (not forming)",SWING-E1,,3,Critical,,rules,
Test,SWING-3.T1,TEST: pierce check invalidates short setup,"GIVEN gamma_strike=$890, ATR=$2, recent_high=$890.60, WHEN trigger evaluated, THEN False with 'gamma_pierced'.",,SWING-3,,Medium,,tests,
Story,SWING-4,Implement fake-breakout reject layer,"AS a developer
I WANT fake_breakout_reject() filtering ignition candidates
SO THAT we don't trade wick-driven false signals.

ACCEPTANCE CRITERIA:
- Wick: upper_wick/range > 0.40 (long) or lower_wick/range > 0.40 (short)
- Aggressor collapse: aggressor_pct < 0.45 (long) or > 0.55 (short)
- Flow contradicts: net_signed_premium 5m > $300K opposite
- Volume drops > 30% next bar — REMOVED (redundant)",SWING-E1,,2,High,,rules,
Test,SWING-4.T1,TEST: wick rule rejects upper-heavy bar on long,"GIVEN long ignition with upper_wick = 50% of range, WHEN reject runs, THEN True 'wick_excessive'.",,SWING-4,,Medium,,tests,
Test,SWING-4.T2,TEST: flow-contradicts rejects opposing flow,"GIVEN long candidate with net_signed_premium_5m = -$500K, WHEN evaluated, THEN True 'flow_contradicts'.",,SWING-4,,Medium,,tests,
Story,SWING-10,Implement candidate scanner: scan top-100 names for S5 setups,"AS a developer
I WANT a scanner running every 5 minutes during market hours
SO THAT S5 candidates are pre-staged before scalp trigger fires.

ACCEPTANCE CRITERIA:
- Scan top-100 liquid optionable names every 5 minutes
- For each name, run is_s5_setup() (SWING-2)
- If True, create Candidate object with TTL
- Persist to redis: pre_staged_s5 indexed by ticker
- TTL: 30 minutes default; refresh on scanner re-run if still True",SWING-E2,,5,Critical,,scanner,
Sub-task,SWING-10.1,Implement scanner loop,"Async loop: every 5 min during market hours, run is_s5_setup on universe.",,SWING-10,2,Medium,,,
Sub-task,SWING-10.2,Implement Candidate dataclass and Redis persistence,"Candidate: {id, ticker, direction, gamma_strike, atr, setup_features, created_at, expires_at}.",,SWING-10,2,Medium,,,
Sub-task,SWING-10.3,Implement TTL handling,Candidates auto-expire after 30 min. Refresh ttl on scanner re-run if still valid.,,SWING-10,1,Medium,,,
Test,SWING-10.T1,TEST: scanner runs on schedule,Verify scanner fires every 5 min during market hours; no fire outside market hours.,,SWING-10,,Medium,,tests,
Test,SWING-10.T2,TEST: expired candidates removed,Create candidate with TTL 30s; wait 31s; verify candidate gone from registry.,,SWING-10,,Medium,,tests,
Story,SWING-11,Implement subscriber to scalp.price_trigger channel,"AS a developer
I WANT swing brain to subscribe to scalp pubsub and elevate pre-staged candidates on matching state
SO THAT cross-brain handoff actually works in production.

ACCEPTANCE CRITERIA:
- Async subscriber consuming scalp.price_trigger
- On message: lookup pre-staged candidate for {ticker}
- If candidate exists AND direction matches state (TANK_REVERSE -> long, SURGE_REVERSE -> short): elevate to TRIGGER
- If no pre-staged candidate or direction mismatch: ignore message
- Failure mode: if scalp brain unreachable for >60s during market hours, alert; pre-staged candidates expire normally
- Latency target: subscriber receive to TRIGGER state transition < 200ms",SWING-E2,,8,Critical,,integration,
Sub-task,SWING-11.1,Implement async subscriber,Subscribe to Redis channel scalp.price_trigger; consume messages; deserialize.,,SWING-11,3,Medium,,,
Sub-task,SWING-11.2,Implement candidate lookup and elevation,"On message, look up Redis pre_staged_s5:{ticker}; if match, transition state to TRIGGER.",,SWING-11,3,Medium,,,
Sub-task,SWING-11.3,Implement health monitor,"If no scalp.price_trigger messages received in 60s during market hours, fire alert. Resume on reconnect.",,SWING-11,2,Medium,,,
Test,SWING-11.T1,TEST: end-to-end handoff fires TRIGGER,"GIVEN pre-staged S5 long candidate for SPY, WHEN scalp publishes TANK_REVERSE state for SPY, THEN swing candidate transitions to TRIGGER within 200ms.",,SWING-11,,Medium,,tests,
Test,SWING-11.T2,TEST: direction mismatch does not trigger,"GIVEN pre-staged S5 long for SPY, WHEN scalp publishes SURGE_REVERSE for SPY (wrong direction), THEN candidate stays in SETUP.",,SWING-11,,Medium,,tests,
Test,SWING-11.T3,TEST: graceful degradation when scalp down,"GIVEN scalp disconnected for 5 minutes, WHEN pre-staged candidate at gamma proximity, THEN no TRIGGER fires, candidate expires at TTL, alert logged.",,SWING-11,,Medium,,tests,
Story,SWING-12,Implement bias map for daily directional context,"AS a developer
I WANT a daily bias_map maintained per ticker (Conviction-style)
SO THAT swing brain can reject S5 candidates contradicting daily bias.

ACCEPTANCE CRITERIA:
- Per-ticker daily bias: BULLISH / BEARISH / NEUTRAL
- Computed once per day at market open from previous-day GEX, flow, term structure
- Stored in Redis: bias_map:{ticker} with 1-day TTL
- S5 candidates check bias as soft filter (allow but flag anti-bias trades)",SWING-E2,,5,High,,bias,
Sub-task,SWING-12.1,Implement daily bias computation,"From prior-day UW data: net call/put flow, GEX direction, term structure slope. Logistic combine.",,SWING-12,3,Medium,,,
Sub-task,SWING-12.2,Persist bias to Redis with daily TTL,Set bias_map:{ticker} at market open; expire 24h.,,SWING-12,2,Medium,,,
Test,SWING-12.T1,TEST: bias matches obvious case,"Synthetic ticker with prior-day net call buy 5x put buy, GEX up, term contango. Verify bias = BULLISH.",,SWING-12,,Medium,,tests,
Story,S5-1,Validate gamma proximity as standalone sub-edge,"AS a quant researcher
I WANT to measure forward returns following 'price within 0.5 ATR of major +GEX strike' alone
SO THAT I know whether gamma proximity adds edge on top of microstructure reversal.

ACCEPTANCE CRITERIA:
- Pull 12 months of UW GEX history for top-100 names
- For every bar where gamma_proximity met, record forward return at +60 bars
- Compute hit rate vs random sampling baseline
- Output: notebook with per-symbol attribution",S5-E1,,5,High,"phase-0,sub-edge",,
Sub-task,S5-1.1,Pull UW GEX historical for top-100 names,Fetch /api/stock/{ticker}/greek-exposure-history days=252. Store to S3.,,S5-1,2,Medium,,,
Sub-task,S5-1.2,Build gamma_proximity feature on minute bars,"For every minute bar in 12mo, compute distance_to_major_pos_gex_atr. Persist parquet.",,S5-1,2,Medium,,,
Sub-task,S5-1.3,Forward return attribution,"For bars with gamma_proximity <= 0.5, compute forward_return at +60 bars. Compare to baseline. t-stat.",,S5-1,1,Medium,,,
Test,S5-1.T1,TEST: gamma_proximity has no look-ahead,"GIVEN bars at time T, WHEN gamma_proximity computed for T, THEN uses only GEX snapshots dated <= T.",,S5-1,,Medium,,tests,
Story,S5-2,Validate reversal microstructure as standalone sub-edge,"AS a quant researcher
I WANT to measure forward returns following SURGE_REVERSE/TANK_REVERSE state alone
SO THAT I know microstructure standalone edge.

ACCEPTANCE CRITERIA:
- For every bar where reversal_score >= 0.55, record forward return at +30 bars
- Compare hit rate to baseline
- Document per-symbol and per-time-of-day breakdown",S5-E1,,5,High,"phase-0,sub-edge",,
Test,S5-2.T1,TEST: reversal_score is bar-close only,Verify reversal_score at bar T uses only data finalized at T's close.,,S5-2,,Medium,,tests,
